,favorite_count,tweet_id,retweet_count
952,24592,847962785489326080,5475
953,11973,886736880519319552,3274
954,26784,884441805382717440,5624
955,25932,874296783580663808,4126
956,34369,852311364735569921,10497
957,34369,872122724285648897,8172
958,32317,850753642995093505,9902
959,26373,845677943972139009,5147
960,0,873337748698140672,1593
961,18848,879008229531029506,2683
962,16024,869596645499047938,3175
963,17465,861288531465048066,4294
964,34114,872261713294495745,6373
